DANE OGŕLNE,,,,,,,,,,,,,WYDAJNO—Ź GRZEWCZA,,,,,,,,,ZU˝YCIE ENERGII,,,,,,,,
PRODUCENT,TYP,MODEL,Jednostka zew.,Jednostka wew,CENA KATALOGOWA,RABAT,CENA ZAKUPU,MOC,GRZAťKA,SCOP,ZASILANIE,GWARANCJA,-20,-15,-7,-2,2,7,12,15,20,E -20,E-15,E-7,E-2,E2,E7,E12,E15,E20
Panasonic,SPLIT,High Performance 3kW Split 1f,WH-UDZ03KE5,WH-SDC0309K3E5,22526,47%,"11938,78",3,3,"5,07",1,5,"3,2","3,2","3,3","3,24","3,2","3,2","3,2","3,2","3,2","1,49","1,37","1,18","1,01","0,88","0,6","0,6","0,6","0,6"
Panasonic,SPLIT,High Performance 5kW Split 1f,WH-UDZ05KE5,WH-SDC0309K3E5,23461,47%,"12434,33",5,3,"5,12",1,5,5,5,5,5,5,5,5,5,5,"2,31","2,11","1,79","1,57","1,4","0,98","0,98","0,98","0,98"
Panasonic,SPLIT,High Performance 7kW Split 1f,WH-UDZ07KE5,WH-SDC0309K3E5,24875,47%,"13183,75",7,3,"4,9",1,5,"5,51","5,6","5,75","6,36","6,85",7,7,7,7,"2,65","2,38","1,95","1,98",2,"1,44","1,44","1,44","1,44"
Panasonic,SPLIT,High Performance 9kW Split 1f,WH-UDZ09KE5,WH-SDC0309K3E5,27164,47%,"14396,92",9,3,"4,44",1,5,"8,12","7,4","6,25","6,67",7,9,9,9,9,"3,83","3,2","2,2","2,12","2,06","1,98","1,98","1,98","1,98"
Panasonic,SPLIT,High Performance 12kW Split 1f,WH-UD12HE5,WH-SDC12H6E5,31519,47%,"16705,07",12,6,"4,82",1,5,"7,9","8,9",10,"10,78","11,4",12,12,12,12,"2,12","3,62","3,66","3,47","3,31","2,53","0,89","0,83","1,66"
Panasonic,SPLIT,High Performance 12kW Split 3f,WH-UD12HE8,WH-SDC12H9E8,32822,47%,"17395,66",12,9,"4,82",3,5,"7,9","8,9",10,"10,78","11,4",12,12,12,12,"2,03","3,62","3,66","3,47","3,31","2,53","1,25","1,12","1,66"
Panasonic,SPLIT,High Performance 16kW Split 1f,WH-UD16HE5,WH-SDC16H6E5,37731,47%,"19997,43",16,6,"4,82",1,5,"9,2","10,3","11,4","12,29",13,16,16,16,16,"3,83","4,38","4,43","4,17","3,96","3,74","1,73","1,57","2,69"
Panasonic,SPLIT,High Performance 16kW Split 3f,WH-UD16HE8,WH-SDC16H9E8,39374,47%,"20868,22",16,9,"4,82",3,5,"9,2","10,3","11,4","12,29",13,16,16,16,16,"3,24","4,38","4,43","4,17","3,96","3,74","1,62","1,48","2,69"
Panasonic,SPLIT,T-CAP 9kW Split 1f,WH-UXZ09KE5,WH-SXC09K3E5,32350,47%,"17145,5",9,3,"4,96",1,5,9,9,9,9,9,9,"10,28","11,04","12,32","4,5","3,51","3,16","2,8","2,51","1,86","1,81","1,76","1,71"
Panasonic,SPLIT,T-CAP 9kW Split 3f,WH-UXZ09KE8,WH-SXC09K3E8,35795,47%,"18971,35",9,3,"4,96",3,5,9,9,9,9,9,9,"10,28","11,04","12,32","4,5","3,51","3,16","2,8","2,51","1,86","1,81","1,76","1,71"
Panasonic,SPLIT,T-CAP 12kW Split 1f,WH-UXZ12KE5,WH-SXC12K6E5,37726,47%,"19994,78",12,9,"4,96",1,5,12,12,12,12,12,12,"10,28","11,04","12,32","6,32","4,96","4,41","3,9","3,49","2,53","2,23","2,06","1,76"
Panasonic,SPLIT,T-CAP 12kW Split 3f,WH-UXZ12KE8,WH-SXC12K9E8,40971,47%,"21714,63",12,9,"4,96",3,5,12,12,12,12,12,12,"10,28","11,04","12,32","6,32","4,96","4,41","3,9","3,49","2,53","2,23","2,06","1,76"
Panasonic,SPLIT,T-CAP 16kW Split 3f,WH-UX16HE8,WH-SXC16H9E8,44306,47%,"23482,18",16,9,"4,08",3,5,16,16,16,16,16,16,16,16,16,"8,89","6,89","6,42","5,75","5,21","3,18","2,95","2,81","2,58"
Panasonic,ALL IN ONE,High Performance 3kW AiO 1f,WH-UDZ03KE5,WH-ADC0309K3E5,32413,47%,"17178,89",3,3,"5,07",1,5,"3,14","3,2","3,3","3,24","3,2","3,2","3,2","3,2","3,2","1,49","1,37","1,18","1,01","0,88","0,6","0,6","0,6","0,6"
Panasonic,ALL IN ONE,High Performance 5kW AiO 1f,WH-UDZ05KE5,WH-ADC0309K3E6,33348,47%,"17674,44",5,3,"5,12",1,5,5,5,5,5,5,5,5,5,5,"2,31","2,11","1,79","1,57","1,4","0,98","0,98","0,98","0,98"
Panasonic,ALL IN ONE,High Performance 7kW AiO 1f,WH-UDZ07KE5,WH-ADC0309K3E7,34762,47%,"18423,86",7,3,"4,9",1,5,"5,51","5,6","5,75","6,36","6,85",7,7,7,7,"2,65","2,38","1,95","1,98",2,"1,44","1,44","1,44","1,44"
Panasonic,ALL IN ONE,High Performance 9kW AiO 1f,WH-UDZ09KE5,WH-ADC0309K3E8,37051,47%,"19637,03",9,3,"4,44",1,5,"8,12","7,4","6,25","6,67",7,9,9,9,9,"3,83","3,2","2,2","2,12","2,06","1,98","1,98","1,98","1,98"
Panasonic,ALL IN ONE,High Performance 12kW AiO 1f,WH-UD12HE5,WH-ADC1216H6E5,41562,47%,"22027,86",12,6,"4,82",1,5,"7,9","8,9",10,"10,78","11,4",12,12,12,12,"3,73","3,62","3,66","3,47","3,31","2,53","1,8","1,77","1,66"
Panasonic,ALL IN ONE,High Performance 12kW AiO 3f,WH-UD12HE8,WH-ADC0916H9E8,42927,47%,"22751,31",12,9,"4,82",3,5,"7,9","8,9",10,"10,78","11,4",12,12,12,12,"3,73","3,62","3,66","3,47","3,31","2,53","1,8","1,77","1,66"
Panasonic,ALL IN ONE,High Performance 16kW AiO 1f,WH-UD16HE5,WH-ADC1216H6E5,44927,47%,"23811,31",16,6,"4,82",1,5,"9,2","10,3","11,4","12,29",13,16,16,16,16,"5,3","4,38","4,43","4,17","3,96","3,74","2,23","2,06","2,69"
Panasonic,ALL IN ONE,High Performance 16kW AiO 3f,WH-UD16HE8,WH-ADC0916H9E8,45508,47%,"24119,24",16,9,"4,82",3,5,"9,2","10,3","11,4","12,29",13,16,16,16,16,"7,18","4,38","4,43","4,17","3,96","3,74","2,95","2,81","2,69"
Panasonic,ALL IN ONE,T-CAP 9kW AiO 1f,WH-UXZ09KE5,WH-ADC0912K6E5,44018,47%,"23329,54",9,3,"4,96",1,5,9,9,9,9,9,9,"10,28","11,04","12,32","4,5","3,51","3,16","2,8","2,51","1,86","1,81","1,76","1,71"
Panasonic,ALL IN ONE,T-CAP 9kW AiO 3f,WH-UXZ09KE8,WH-ADC0912K9E8,46283,47%,"24529,99",9,3,"4,96",3,5,9,9,9,9,9,9,"10,28","11,04","12,32","4,5","3,51","3,16","2,8","2,51","1,86","1,81","1,76","1,71"
Panasonic,ALL IN ONE,T-CAP 12kW AiO 1f,WH-UXZ12KE5,WH-ADC0912K6E5,46991,47%,"24905,23",12,9,"4,96",1,5,12,12,12,12,12,12,"10,28","11,04","12,32","6,32","4,96","4,41","3,9","3,49","2,53","2,23","2,06","1,76"
Panasonic,ALL IN ONE,T-CAP 12kW AiO 3f,WH-UXZ12KE8,WH-ADC0912K9E8,48622,47%,"25769,66",12,9,"4,96",3,5,12,12,12,12,12,12,"10,28","11,04","12,32","6,32","4,96","4,41","3,9","3,49","2,53","2,23","2,06","1,76"
Panasonic,ALL IN ONE,T-CAP 16kW AiO 3f,WH-UX16HE8,WH-ADC0916H9E8,48825,47%,"25877,25",16,9,"4,08",3,5,16,16,16,16,16,16,16,16,16,"8,89","6,89","6,42","5,75","5,21","3,18","2,95","2,81","2,58"
Panasonic,MONOBLOK,High Performance 5kW Mono 1f,WH-MDC05J3E5,BRAK,21090,47%,"11177,7",5,3,"5,12",1,5,5,5,5,5,5,5,5,5,5,"2,31","2,11","1,79","1,57","1,4","0,98","0,98","0,98","0,98"
Panasonic,MONOBLOK,High Performance 7kW Mono 1f,WH-MDC07J3E5,BRAK,22082,47%,"11703,46",7,3,"4,9",1,5,"5,51","5,6","5,75","6,36","6,85",7,7,7,7,"2,65","2,38","1,95","1,98",2,"1,44","1,44","1,44","1,44"
Panasonic,MONOBLOK,High Performance 9kW Mono 1f,WH-MDC09J3E5,BRAK,26589,47%,"14092,17",9,3,"4,9",1,5,"8,12","7,4","6,25","6,67",7,9,9,9,9,"3,83","3,2","2,2","2,12","2,06","1,98","1,98","1,98","1,98"
Panasonic,MONOBLOK,High Performance 12kW Mono 1f,WH-MDC12H6E5,BRAK,28978,47%,"15358,34",12,6,"4,82",1,5,"7,9","8,9",10,"10,78","11,4",12,12,12,12,"4,35","3,62","3,66","3,47","3,31","2,53","3,34","3,09","1,66"
Panasonic,MONOBLOK,High Performance 16kW Mono 1f,WH-MDC16H6E5,BRAK,30946,47%,"16401,38",16,6,"4,82",1,5,"9,2","10,3","11,4","12,29",13,16,16,16,16,"1,49","4,38","4,43","4,17","3,96","3,74","0,6","0,6","2,69"
Panasonic,MONOBLOK,T-CAP 9kW Mono 1f,WH-MXC09J3E5,BRAK,28437,47%,"15071,61",9,3,"4,96",1,5,9,9,9,9,9,9,"10,28","11,04","12,32","4,5","3,51","3,16","2,8","2,51","1,86","1,81","1,76","1,71"
Panasonic,MONOBLOK,T-CAP 9kW Mono 3f,WH-MXC09J3E8,BRAK,32354,47%,"17147,62",9,3,"4,96",3,5,9,9,9,9,9,9,"10,28","11,04","12,32","4,5","3,51","3,16","2,8","2,51","1,86","1,81","1,76","1,71"
Panasonic,MONOBLOK,T-CAP 12kW Mono 1f,WH-MXC12J6E5,BRAK,34118,47%,"18082,54",12,6,"4,96",1,5,12,12,12,12,12,12,"10,28","11,04","12,32","6,32","4,96","4,41","3,9","3,49","2,53","2,23","2,06","1,76"
Panasonic,MONOBLOK,T-CAP 12kW Mono 3f,WH-MXC12J9E8,BRAK,39414,47%,"20889,42",12,9,"4,96",3,5,12,12,12,12,12,12,"10,28","11,04","12,32","6,32","4,96","4,41","3,9","3,49","2,53","2,23","2,06","1,76"
Panasonic,MONOBLOK,T-CAP 16kW Mono 3f,WH-MXC16J9E8,BRAK,44489,47%,"23579,17",16,9,"4,46",3,5,16,16,16,16,16,16,16,16,16,"8,89","6,89","6,42","5,75","5,21","3,18","2,95","2,81","2,58"
LG,SPLIT,ThermaV 4kW Split 1f,HU041MR.U20,HN0613M.NK5,20000,50%,10000,4,3,"4,65",1,5,4,4,4,4,4,4,4,4,4,"1,84","1,65","1,3","1,06","1,1","0,78","0,77","0,69","0,62"
LG,SPLIT,ThermaV 5kW Split 1f,HU051MR.U44,HN091MR.NK5,22200,50%,11100,5,3,"4,65",1,5,"4,51","5,12","5,5","5,5","5,5","5,5","5,5","5,5","5,5","2,18","2,23","2,04","1,76","1,57","1,12","1,03","0,91","0,81"
LG,SPLIT,ThermaV 6kW Split 1f,HU061MR.U20,HN0613M.NK5,20500,50%,10250,6,3,"4,65",1,5,"4,78","5,52",6,6,6,6,6,6,6,"2,28","2,35","2,01","1,65","1,7","1,21","1,19","1,06","0,95"
LG,SPLIT,ThermaV 7kW Split 1f,HU071MR.U44,HN091MR.NK5,22600,50%,11300,7,3,"4,65",1,5,"5,43",6,7,7,7,7,7,7,7,"2,69","2,67","2,57","2,3","2,06","1,43","1,33","1,18","1,07"
LG,SPLIT,ThermaV 9kW Split 1f,HU091MR.U44,HN091MR.NK5,23500,50%,11750,9,3,"4,65",1,5,7,"7,8",9,9,9,9,9,9,9,"3,57","3,51","3,32","3,03","2,69","1,94","1,81","1,64","1,49"
LG,SPLIT,ThermaV 12kW Split 1f,HU121MRB.U30,HN1600MC.NK1,28200,50%,14100,12,6,"4,6",1,5,10,"11,5",12,12,12,12,12,12,12,"4,69","4,79",4,"3,48","3,11","2,38","2,27","2,04","1,83"
LG,SPLIT,ThermaV 12kW Split 3f,HU123MRB.U30,HN1600MC.NK1,29400,50%,14700,12,6,"4,6",3,5,10,"11,5",12,12,12,12,12,12,12,"4,69","4,79",4,"3,48","3,11","2,38","2,27","2,04","1,83"
LG,SPLIT,ThermaV 14kW Split 1f,HU141MRB.U30,HN1600MC.NK1,30100,50%,15050,14,6,"4,57",1,5,"11,25","12,9",14,14,14,14,14,14,14,"5,49","5,61","4,75","4,19","3,76","2,86","2,83","2,45","2,2"
LG,SPLIT,ThermaV 14kW Split 3f,HU143MRB.U30,HN1600MC.NK1,31500,50%,15750,14,6,"4,57",3,5,"11,25","12,9",14,14,14,14,14,14,14,"5,49","5,61","4,75","4,19","3,76","2,86","2,83","2,45","2,2"
LG,SPLIT,ThermaV 16kW Split 1f,HU161MRB.U30,HN1600MC.NK1,32600,50%,16300,16,6,"4,55",1,5,"12,54","14,39",16,16,16,16,16,16,16,"5,75","6,37","5,71","5,02","4,69","3,33","3,15","2,68","2,33"
LG,SPLIT,ThermaV 16kW Split 3f,HU163MRB.U30,HN1600MC.NK1,34000,50%,17000,16,6,"4,55",3,5,"12,54","14,39",16,16,16,16,16,16,16,"5,75","6,37","5,71","5,02","4,69","3,33","3,15","2,68","2,33"
LG,ALL IN ONE,ThermaV 4kW IWT 1f,HU041MR.U20,HN0613T.NK0,31000,50%,15500,4,3,"4,65",1,5,4,4,4,4,4,4,4,4,4,"1,84","1,65","1,3","1,06","1,1","0,78","0,77","0,69","0,62"
LG,ALL IN ONE,ThermaV 5kW IWT 1f,HU051MR.U44,HN0913T.NK0,34400,50%,17200,5,3,"4,65",1,5,"4,51","5,12","5,5","5,5","5,5","5,5","5,5","5,5","5,5","2,18","2,23","2,04","1,76","1,57","1,12","1,03","0,91","0,81"
LG,ALL IN ONE,ThermaV 6kW IWT 1f,HU061MR.U20,HN0613T.NK0,31500,50%,15750,6,3,"4,65",1,5,"4,78","5,52",6,6,6,6,6,6,6,"2,28","2,35","2,01","1,65","1,7","1,21","1,19","1,06","0,95"
LG,ALL IN ONE,ThermaV 7kW IWT 1f,HU071MR.U44,HN0913T.NK0,34800,50%,17400,7,3,"4,65",1,5,"5,43",6,7,7,7,7,7,7,7,"2,69","2,67","2,57","2,3","2,06","1,43","1,33","1,18","1,07"
LG,ALL IN ONE,ThermaV 9kW IWT 1f,HU091MR.U44,HN0913T.NK0,35700,50%,17850,9,3,"4,65",1,5,7,"7,8",9,9,9,9,9,9,9,"3,57","3,51","3,32","3,03","2,69","1,94","1,81","1,64","1,49"
LG,ALL IN ONE,ThermaV 12kW IWT 1f,HU121MRB.U30,HN1616Y.NB1,46000,50%,23000,12,6,"4,6",1,5,10,"11,5",12,12,12,12,12,12,12,"4,69","4,79",4,"3,48","3,11","2,38","2,27","2,04","1,83"
LG,ALL IN ONE,ThermaV 12kW IWT 3f,HU123MRB.U30,HN1616Y.NB1,47200,50%,23600,12,6,"4,6",3,5,10,"11,5",12,12,12,12,12,12,12,"4,69","4,79",4,"3,48","3,11","2,38","2,27","2,04","1,83"
LG,ALL IN ONE,ThermaV 14kW IWT 1f,HU141MRB.U30,HN1616Y.NB1,47900,50%,23950,14,6,"4,57",1,5,"11,25","12,9",14,14,14,14,14,14,14,"5,49","5,61","4,75","4,19","3,76","2,86","2,83","2,45","2,2"
LG,ALL IN ONE,ThermaV 14kW IWT 3f,HU143MRB.U30,HN1616Y.NB1,49300,50%,24650,14,6,"4,57",3,5,"11,25","12,9",14,14,14,14,14,14,14,"5,49","5,61","4,75","4,19","3,76","2,86","2,83","2,45","2,2"
LG,ALL IN ONE,ThermaV 16kW IWT 1f,HU161MRB.U30,HN1616Y.NB1,50400,50%,25200,16,6,"4,55",1,5,"12,54","14,39",16,16,16,16,16,16,16,"5,75","6,37","5,71","5,02","4,69","3,33","3,15","2,68","2,33"
LG,ALL IN ONE,ThermaV 16kW IWT 3f,HU163MRB.U30,HN1616Y.NB1,51800,50%,25900,16,6,"4,55",3,5,"12,54","14,39",16,16,16,16,16,16,16,"5,75","6,37","5,71","5,02","4,69","3,33","3,15","2,68","2,33"
LG,MONOBLOK,Silence Supreme 5kW 1f,HM051MR.U44,BRAK,23800,50%,11900,5,3,"4,46",1,5,"5,5","5,5","5,5","5,5","5,5","5,5","5,5","5,5","5,5","2,31","2,2","1,72","1,45","1,31","1,71","1,02","0,93","0,86"
LG,MONOBLOK,Silence Supreme 7kW 1f,HM071MR.U44,BRAK,24900,50%,12450,7,3,"4,48",1,5,"6,43",7,7,7,7,7,7,7,7,"2,75","2,86","2,22","1,85","1,67","1,49","1,3","1,19","1,1"
LG,MONOBLOK,Silence Supreme 9kW 1f,HM091MR.U44,BRAK,27700,50%,13850,9,3,"4,55",1,5,"7,6",9,9,9,9,9,9,9,9,"3,29","3,75","2,9","2,43","2,2","1,96","1,71","1,56","1,44"
LG,MONOBLOK,Silence Supreme 9kW 3f,HM093MR.U44,BRAK,29700,50%,14850,9,3,"4,55",3,5,"7,6",9,9,9,9,9,9,9,9,"3,29","3,75","2,9","2,43","2,2","1,96","1,71","1,56","1,44"
LG,MONOBLOK,Silence Supreme 12kW 1f,HM121MR.U34,BRAK,31000,50%,15500,12,6,"4,67",1,5,"10,75",12,12,12,12,12,12,12,12,"4,35","4,71","3,53","3,17","2,86","2,45","2,18",2,"1,85"
LG,MONOBLOK,Silence Supreme 12kW 3f,HM123MR.U34,BRAK,33600,50%,16800,12,6,"4,67",3,5,"10,75",12,12,12,12,12,12,12,12,"4,35","4,71","3,53","3,17","2,86","2,45","2,18",2,"1,85"
LG,MONOBLOK,Silence Supreme 14kW 1f,HM141MR.U34,BRAK,33000,50%,16500,14,6,"4,62",1,5,12,14,14,14,14,14,14,14,14,"4,96","5,6","4,19","3,63","3,27","2,92","2,6","2,38","2,19"
LG,MONOBLOK,Silence Supreme 14kW 3f,HM143MR.U34,BRAK,36500,50%,18250,14,6,"4,62",3,5,12,14,14,14,14,14,14,14,14,"4,96","5,6","4,19","3,63","3,27","2,92","2,6","2,38","2,19"
LG,MONOBLOK,Silence Supreme 16kW 1f,HM161MR.U34,BRAK,36900,50%,18450,16,6,"4,53",1,5,"13,25","14,4",16,16,16,16,16,16,16,"5,71","5,88","4,89","5,76","3,82","3,4","3,05","2,79","2,53"
LG,MONOBLOK,Silence Supreme 16kW 3f,HM163MR.U34,BRAK,38600,50%,19300,16,6,"4,53",3,5,"13,25","14,4",16,16,16,16,16,16,16,"5,71","5,88","4,89","5,76","3,82","3,4","3,05","2,79","2,53"
Daikin,SPLIT,Altherma 3 R 4kW split 1f,ERGA04EAV3,EHBH04E6V,24890,30%,17423,4,6,"4,48",1,5,"4,29","4,71","5,38","5,43","5,46","6,41","6,07","5,72","5,15","2,45","2,24","1,91","1,68","1,49","1,3","1,01","0,86","0,63"
Daikin,SPLIT,Altherma 3 R 6kW split 1f,ERGA06EAV3H,EHBH08E6V,28940,30%,20258,6,6,"4,47",1,5,"5,13","5,56","6,25","6,2","6,17","7,74","7,52","7,25","6,79","2,82","2,6","2,25","1,97","1,74","1,63","1,27","1,13","0,89"
Daikin,SPLIT,Altherma 3 R 8kW split 1f,ERGA08EAV3H7,EHBH08E6V,31580,30%,22106,8,6,"4,56",1,5,"6,14","6,58","7,28","7,24","7,22","9,37","9,21","8,82","8,16","3,43","3,16","2,73","2,41","2,16","2,08","1,71","1,5","1,14"
Daikin,SPLIT,Altherma 3 R 11kW split 1f,ERLA11DV3,EBBH11D6V,36240,30%,25368,11,6,"4,63",1,5,"6,82","7,67","9,02","9,43","9,76","12,44","10,16","10,27","10,45","3,05","3,04","3,02","2,83","2,68","2,57","1,74","1,56","1,27"
Daikin,SPLIT,Altherma 3 R 11kW split 3f,ERLA11DW1,EBBH11D9W,37640,30%,26348,11,9,"4,63",3,5,"6,82","7,67","9,02","9,43","9,76","12,44","10,16","10,27","10,45","3,05","3,04","3,02","2,83","2,68","2,57","1,74","1,56","1,27"
Daikin,SPLIT,Altherma 3 R 14kW split 1f,ERLA14DV3,EBBH16D6V,40580,30%,28406,14,6,"4,6",1,5,"7,25","8,04","9,29","10,21","10,95","13,38","11,39","12,18","13,5","3,25","3,23","3,19","3,15","3,12","2,83",2,"1,94","1,85"
Daikin,SPLIT,Altherma 3 R 14kW split 3f,ERLA14DW1,EBBH16D9W,45250,30%,31675,14,9,"4,6",3,5,"7,25","8,04","9,29","10,21","10,95","13,38","11,39","12,18","13,5","3,25","3,23","3,19","3,15","3,12","2,83",2,"1,94","1,85"
Daikin,SPLIT,Altherma 3 R 16kW split 1f,ERLA16DV37,EBBH16D6V,43430,30%,30401,16,6,"4,61",1,5,"9,16","9,81","10,84","11,44","11,92","15,96","14,47","14,37","14,19","4,28","4,19","4,06","3,81","3,61","3,45","2,53","2,51","2,46"
Daikin,SPLIT,Altherma 3 R 16kW split 3f,ERLA16DW17,EBBH16D9W,48430,30%,33901,16,9,"4,61",3,5,"9,16","9,81","10,84","11,44","11,92","15,96","14,47","14,37","14,19","4,28","4,19","4,06","3,81","3,61","3,45","2,53","2,51","2,46"
Daikin,ALL IN ONE,Altherma 3 R 4kW AiO 1f,ERGA04EAV3,EHVH04S18E6V,31740,30%,22218,4,6,"4,48",1,5,"4,29","4,71","5,38","5,43","5,46","6,41","6,07","5,72","5,15","2,45","2,24","1,91","1,68","1,49","1,3","1,01","0,86","0,63"
Daikin,ALL IN ONE,Altherma 3 R 6kW AiO 1f,ERGA06EAV3H,EHVH08S180E6V,35230,30%,24661,6,6,"4,47",1,5,"5,13","5,56","6,25","6,2","6,17","7,74","7,52","7,25","6,79","2,82","2,6","2,25","1,97","1,74","1,63","1,27","1,13","0,89"
Daikin,ALL IN ONE,Altherma 3 R 8kW AiO 1f,ERGA08EAV3H7,EHVH08S180E6V,37870,30%,26509,8,6,"4,56",1,5,"6,14","6,58","7,28","7,24","7,22","9,37","9,21","8,82","8,16","3,43","3,16","2,73","2,41","2,16","2,08","1,71","1,5","1,14"
Daikin,ALL IN ONE,Altherma 3 R 11kW AiO 1f,ERLA11DV3,EBVH11S18D9W,44310,33%,29876,11,6,"4,63",1,5,"6,82","7,67","9,02","9,43","9,76","12,44","10,16","10,27","10,45","3,05","3,04","3,02","2,83","2,68","2,57","1,74","1,56","1,27"
Daikin,ALL IN ONE,Altherma 3 R 11kW AiO 3f,ERLA11DW1,EBVH11S18D9W,44590,33%,30072,11,9,"4,63",3,5,"6,82","7,67","9,02","9,43","9,76","12,44","10,16","10,27","10,45","3,05","3,04","3,02","2,83","2,68","2,57","1,74","1,56","1,27"
Daikin,ALL IN ONE,Altherma 3 R 14kW AiO 1f,ERLA14DV3,EBVH16S18D6V,48410,33%,32445,14,6,"4,6",1,5,"7,25","8,04","9,29","10,21","10,95","13,38","11,39","12,18","13,5","3,25","3,23","3,19","3,15","3,12","2,83",2,"1,94","1,85"
Daikin,ALL IN ONE,Altherma 3 R 14kW AiO 3f,ERLA14DW1,EBVH16S18D9W,52180,33%,35133,14,9,"4,6",3,5,"7,25","8,04","9,29","10,21","10,95","13,38","11,39","12,18","13,5","3,25","3,23","3,19","3,15","3,12","2,83",2,"1,94","1,85"
Daikin,ALL IN ONE,Altherma 3 R 16kW AiO 1f,ERLA16DV3,EBVH16S18D6V,51260,33%,34440,16,6,"4,61",1,5,"9,16","9,81","10,84","11,44","11,92","15,96","14,47","14,37","14,19","4,28","4,19","4,06","3,81","3,61","3,45","2,53","2,51","2,46"
Daikin,ALL IN ONE,Altherma 3 R 16kW AiO 3f,ERLA16DW1,EBVH16S18D9W,55360,33%,37359,16,9,"4,61",3,5,"9,16","9,81","10,84","11,44","11,92","15,96","14,47","14,37","14,19","4,28","4,19","4,06","3,81","3,61","3,45","2,53","2,51","2,46"
Daikin,MONOBLOK,Altherma 3 R 4kW Mono 1f,EDLA04E3V3,BRAK,19920,30%,13944,4,3,"4,48",1,5,"4,29","4,71","5,38","5,43","5,46","6,41","6,07","5,72","5,15","2,45","2,24","1,91","1,68","1,49","1,3","1,01","0,86","0,63"
Daikin,MONOBLOK,Altherma 3 R 6kW Mono 1f,EDLA06E3V3,BRAK,20620,30%,14434,6,3,"4,47",1,5,"5,13","5,56","6,25","6,2","6,17","7,74","7,52","7,25","6,79","2,82","2,6","2,25","1,97","1,74","1,63","1,27","1,13","0,89"
Daikin,MONOBLOK,Altherma 3 R 8kW Mono 1f,EDLA08E3V3,BRAK,23200,30%,16240,8,3,"4,56",1,5,"6,14","6,58","7,28","7,24","7,22","9,37","9,21","8,82","8,16","3,43","3,16","2,73","2,41","2,16","2,08","1,71","1,5","1,14"
Daikin,MONOBLOK,Altherma 3 R 9kW Mono 1f,EDLA09D3V3,BRAK,26360,30%,18452,9,3,"4,72",1,5,"6,57","7,08","7,89","8,91","8,98","10,42","13,55","15,09","17,65","3,2","3,31","3,22","3,27","2,97","2,17","3,18","3,04","2,81"
Daikin,MONOBLOK,Altherma 3 R 9kW Mono 3f,EDLA09D3W1,BRAK,27960,30%,19572,9,3,"4,72",3,5,"6,57","7,08","7,89","8,91","8,98","10,42","13,55","15,09","17,65","3,2","3,31","3,22","3,27","2,97","2,17","3,18","3,04","2,81"
Daikin,MONOBLOK,Altherma 3 R 11kW Mono 1f,EDLA11D3V3,BRAK,27910,30%,19537,11,3,"4,62",1,5,"8,45","8,58","9,1","10,08","10,08","12,31","14,06","15,6","18,18","4,21","4,19","3,72","3,99","3,31","2,57","3,11","2,98","2,76"
Daikin,MONOBLOK,Altherma 3 R 11kW Mono 3f,EDLA11D3W1,BRAK,31590,30%,22113,11,3,"4,62",3,5,"8,45","8,58","9,1","10,08","10,08","12,31","14,06","15,6","18,18","4,21","4,19","3,72","3,99","3,31","2,57","3,11","2,98","2,76"
Daikin,MONOBLOK,Altherma 3 R 14kW Mono 1f,EDLA14D3V3,BRAK,33310,30%,23317,14,3,"4,64",1,5,"8,78","9,53","10,73","11,49","11,1","13,69","15,09","16,25","18,18","4,44","4,41","4,35","4,19","3,6","2,95","2,97","2,89","2,76"
Daikin,MONOBLOK,Altherma 3 R 14kW Mono 3f,EDLA14D3W1,BRAK,38430,30%,26901,14,3,"4,64",3,5,"8,78","9,53","10,73","11,49","11,1","13,69","15,09","16,25","18,18","4,44","4,41","4,35","4,19","3,6","2,95","2,97","2,89","2,76"
Daikin,MONOBLOK,Altherma 3 R 16kW Mono 1f,EDLA16D3V37,BRAK,34420,29%,24444,16,3,"4,62",1,5,"9,07","9,87","11,15","12,02","12,35","15,96","17,08","17,73","18,82","4,68","4,59","4,44","4,25","3,94","3,52","3,24","3,04","2,7"
Daikin,MONOBLOK,Altherma 3 R 16kW Mono 3f,EDLA16D3W17,BRAK,41870,30%,29309,16,3,"4,62",3,5,"9,07","9,87","11,15","12,02","12,35","15,96","17,08","17,73","18,82","4,68","4,59","4,44","4,25","3,94","3,52","3,24","3,04","2,7"